task_num,task_id,prompt,A_wait,A_eff,A_se,A_cash,A_origin,B_wait,B_eff,B_se,B_cash,B_origin
1,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 3 months
- Vaccine effectiveness: 95%
- Risk of side effects: 1%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",0.0,0.5,2.0,200.0,1,3.0,0.95,2.0,50.0,0
2,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",0.0,0.5,2.0,800.0,0,6.0,0.7,3.0,50.0,1
3,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 1 months
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 70%
- Risk of side effects: 0.1%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",1.0,0.5,2.0,800.0,1,0.0,0.7,1.0,50.0,0
4,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 1 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 1%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",1.0,0.95,3.0,200.0,1,6.0,0.7,2.0,800.0,0
5,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 95%
- Risk of side effects: 1%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 1 months
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",6.0,0.95,2.0,50.0,0,1.0,0.5,2.0,200.0,0
6,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.95,3.0,200.0,1,3.0,0.5,2.0,200.0,1
7,1,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 1 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 1 months
- Vaccine effectiveness: 95%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",1.0,0.7,3.0,200.0,0,1.0,0.95,3.0,800.0,0
8,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 70%
- Risk of side effects: 0.1%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 50%
- Risk of side effects: 1%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.7,1.0,200.0,0,0.0,0.5,2.0,50.0,0
9,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 70%
- Risk of side effects: 10%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 50%
- Risk of side effects: 0.1%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.7,3.0,50.0,0,6.0,0.5,1.0,800.0,1
10,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 10%
- Cash incentive: 800 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 0.1%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.5,3.0,800.0,1,6.0,0.7,1.0,200.0,0
11,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 70%
- Risk of side effects: 0.1%
- Cash incentive: 800 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 50%
- Risk of side effects: 0.1%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.7,1.0,800.0,0,0.0,0.5,1.0,200.0,1
12,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 0.1%
- Cash incentive: 50 RMB
- Vaccine origin: Domestic

Alternative B:
- Waiting time: walk-in (no wait)
- Vaccine effectiveness: 95%
- Risk of side effects: 1%
- Cash incentive: 50 RMB
- Vaccine origin: Imported

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",6.0,0.7,1.0,50.0,0,0.0,0.95,2.0,50.0,1
13,2,"You are evaluating COVID-19 vaccination choices.

Please consider the following three alternatives and indicate which you would choose:

Alternative A:
- Waiting time: 3 months
- Vaccine effectiveness: 50%
- Risk of side effects: 10%
- Cash incentive: 200 RMB
- Vaccine origin: Imported

Alternative B:
- Waiting time: 6 months
- Vaccine effectiveness: 70%
- Risk of side effects: 1%
- Cash incentive: 200 RMB
- Vaccine origin: Domestic

Alternative C:
- Do not receive the vaccine (opt out)

Question: Which alternative would you choose? Please respond with ONLY ""A"", ""B"", or ""C"".

Additionally, please provide the probability (between 0 and 1) that you would choose each alternative. The probabilities should sum to 1.

Format your response as:
Choice: [A/B/C]
P(A): [probability]
P(B): [probability]
P(C): [probability]",3.0,0.5,3.0,200.0,1,6.0,0.7,2.0,200.0,0
